COUNTY,Tr_ID,TotPop,Pop25pl,HH_MedInc,Perc_BelPo,PercBl,Count
510,24510230200,2335.000000,1744.000000,44414.000000,11.862955,2.22698072805,24
510,24510240300,2083.000000,1866.000000,53917.000000,6.663301,6.09697551608,2
027,24027602305,3854.000000,2430.000000,109480.000000,0.596783,3.96990140114,0
005,24005420301,1982.000000,1323.000000,39868.000000,11.178553,2.42179616549,0
005,24005400200,2557.000000,1703.000000,41890.000000,7.978099,6.92217442315,3
027,24027602306,4564.000000,3302.000000,75308.000000,2.541630,3.90008764242,10
510,24510240100,2111.000000,1526.000000,38224.000000,8.953103,0.00000000000,4
005,24005401000,2576.000000,1952.000000,49347.000000,2.745995,14.28571428570,4
510,24510250103,4012.000000,2984.000000,30000.000000,9.389417,11.78963110670,7
005,24005452500,3978.000000,2705.000000,45269.000000,6.874683,0.77928607340,1
510,24510250206,2555.000000,1766.000000,36136.000000,10.293542,2.85714285714,3
005,24005401400,1388.000000,1030.000000,66500.000000,4.106628,0.00000000000,1
510,24510230300,1318.000000,905.000000,31641.000000,22.256332,1.51745068285,2
005,24005400400,5573.000000,3915.000000,72241.000000,3.406414,4.45002691549,10
005,24005420302,2773.000000,1804.000000,40080.000000,10.845122,0.36062026686,0
005,24005420800,3363.000000,2389.000000,43308.000000,7.411835,3.53850728516,6
005,24005420303,1552.000000,1052.000000,48173.000000,1.487710,3.02835051546,5
510,24510240400,2368.000000,1764.000000,41458.000000,10.726351,1.22466216216,10
005,24005400100,4518.000000,3966.000000,44040.000000,3.503185,4.62594068172,0
510,24510250303,2360.000000,1535.000000,29757.000000,14.618644,5.12711864407,2
005,24005401601,356.000000,307.000000,0.000000,33.333333,39.32584269660,0
005,24005420200,2370.000000,1747.000000,39189.000000,13.004675,0.00000000000,2
510,24510250302,2201.000000,1029.000000,15943.000000,42.059497,98.09177646520,0
005,24005421000,1900.000000,1462.000000,24191.000000,8.631579,5.73684210526,1
005,24005420900,3937.000000,2585.000000,28774.000000,13.680449,9.85521971044,2
