"","ORG_CODE","DISTRICT_NAME.x","COUNTY.x","FEMALE","MALE","TOTAL","DISTRICT_NAME.y","COUNTY.y","GRADE","District_Total","African American","Asian","Hispanic","Mult-Race, Non-Hispanic","Native American","Native Hawaiian PacificIslander","White"
"221","0330","Weston","Middlesex","108","94","202","Weston","Middlesex","Gr.10",202,"11","32","14","8","1","0","136"
"222","0331","Westport","Bristol","47","52","99","Westport","Bristol","Gr.10",99,"1","3","3","3","0","0","89"
"223","0332","West Springfield","Hampden","140","162","302","West Springfield","Hampden","Gr.10",302,"8","20","52","5","0","0","217"
"224","0335","Westwood","Norfolk","128","132","260","Westwood","Norfolk","Gr.10",260,"7","14","6","2","0","0","231"
"225","0336","Weymouth","Norfolk","214","254","468","Weymouth","Norfolk","Gr.10",468,"17","17","29","14","1","0","390"
"226","0337","Whately","Franklin","0","0","0","Whately","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"227","0340","Williamsburg","Hampshire","0","0","0","Williamsburg","Hampshire","Gr.10",0,"***","***","***","***","***","***","***"
"228","0341","Williamstown","Berkshire","0","0","0","Williamstown","Berkshire","Gr.10",0,"***","***","***","***","***","***","***"
"229","0342","Wilmington","Middlesex","103","112","215","Wilmington","Middlesex","Gr.10",215,"5","11","7","5","1","0","186"
"230","0343","Winchendon","Worcester","47","42","89","Winchendon","Worcester","Gr.10",89,"1","2","5","2","0","0","79"
"231","0344","Winchester","Middlesex","150","147","297","Winchester","Middlesex","Gr.10",297,"1","44","12","12","0","0","228"
"232","0346","Winthrop","Suffolk","69","96","165","Winthrop","Suffolk","Gr.10",165,"2","2","23","5","0","0","133"
"233","0347","Woburn","Middlesex","177","180","357","Woburn","Middlesex","Gr.10",357,"18","25","41","7","1","1","264"
"234","0348","Worcester","Worcester","892","922","1814","Worcester","Worcester","Gr.10",1814,"305","159","750","77","8","0","515"
"235","0349","Worthington","Hampshire","0","0","0","Worthington","Hampshire","Gr.10",0,"***","***","***","***","***","***","***"
"236","0350","Wrentham","Norfolk","0","0","0","Wrentham","Norfolk","Gr.10",0,"***","***","***","***","***","***","***"
"237","0406","Northampton-Smith Vocational Agricultural","Hampshire","57","79","136","Northampton-Smith Vocational Agricultural","Hampshire","Gr.10",136,"2","2","21","2","0","0","109"
"238","0407","Dudley Street Neighborhood Charter School (District)","Suffolk","0","0","0","Dudley Street Neighborhood Charter School (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"239","0409","Alma del Mar Charter School (District)","Bristol","0","0","0","Alma del Mar Charter School (District)","Bristol","Gr.10",0,"***","***","***","***","***","***","***"
"240","0410","Excel Academy Charter (District)","Suffolk","57","49","106","Excel Academy Charter (District)","Suffolk","Gr.10",106,"16","4","75","0","2","0","9"
"241","0411","Boston Green Academy Horace Mann Charter School (District)","Suffolk","35","30","65","Boston Green Academy Horace Mann Charter School (District)","Suffolk","Gr.10",65,"37","0","25","1","0","0","2"
"242","0412","Academy Of the Pacific Rim Charter Public (District)","Suffolk","26","29","55","Academy Of the Pacific Rim Charter Public (District)","Suffolk","Gr.10",55,"29","1","14","4","0","1","6"
"243","0413","Four Rivers Charter Public (District)","Franklin","20","18","38","Four Rivers Charter Public (District)","Franklin","Gr.10",38,"0","0","3","3","0","0","32"
"244","0414","Berkshire Arts and Technology Charter Public (District)","Berkshire","27","26","53","Berkshire Arts and Technology Charter Public (District)","Berkshire","Gr.10",53,"9","1","6","3","0","0","34"
"245","0416","Boston Preparatory Charter Public (District)","Suffolk","32","35","67","Boston Preparatory Charter Public (District)","Suffolk","Gr.10",67,"50","1","12","1","0","0","3"
"246","0417","Bridge Boston Charter School (District)","Suffolk","0","0","0","Bridge Boston Charter School (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"247","0418","Christa McAuliffe Charter Public (District)","Middlesex","0","0","0","Christa McAuliffe Charter Public (District)","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"248","0419","Helen Y. Davis Leadership Academy Charter Public (District)","Suffolk","0","0","0","Helen Y. Davis Leadership Academy Charter Public (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"249","0420","Benjamin Banneker Charter Public (District)","Middlesex","0","0","0","Benjamin Banneker Charter Public (District)","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"250","0424","Boston Day and Evening Academy Charter (District)","Suffolk","22","10","32","Boston Day and Evening Academy Charter (District)","Suffolk","Gr.10",32,"14","0","15","2","0","0","1"
"251","0426","Community Day Charter Public School - Gateway (District)","Essex","0","0","0","Community Day Charter Public School - Gateway (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"252","0427","Barnstable Community Horace Mann Charter Public (District)","Barnstable","0","0","0","Barnstable Community Horace Mann Charter Public (District)","Barnstable","Gr.10",0,"***","***","***","***","***","***","***"
"253","0428","Brooke Charter School Roslindale (District)","Suffolk","0","0","0","Brooke Charter School Roslindale (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"254","0429","KIPP Academy Lynn Charter (District)","Essex","69","61","130","KIPP Academy Lynn Charter (District)","Essex","Gr.10",130,"41","3","77","4","0","0","5"
"255","0430","Advanced Math and Science Academy Charter (District)","Middlesex","71","55","126","Advanced Math and Science Academy Charter (District)","Middlesex","Gr.10",126,"4","22","2","11","1","0","86"
"256","0431","Community Day Charter Public School - R. Kingman Webster (District)","Essex","0","0","0","Community Day Charter Public School - R. Kingman Webster (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"257","0432","Cape Cod Lighthouse Charter (District)","Barnstable","0","0","0","Cape Cod Lighthouse Charter (District)","Barnstable","Gr.10",0,"***","***","***","***","***","***","***"
"258","0435","Innovation Academy Charter (District)","Middlesex","57","47","104","Innovation Academy Charter (District)","Middlesex","Gr.10",104,"6","5","6","4","0","0","83"
"259","0436","Community Charter School of Cambridge (District)","Middlesex","27","33","60","Community Charter School of Cambridge (District)","Middlesex","Gr.10",60,"35","3","16","2","0","0","4"
"260","0437","City on a Hill Charter Public School Circuit Street (District)","Suffolk","45","22","67","City on a Hill Charter Public School Circuit Street (District)","Suffolk","Gr.10",67,"56","0","8","2","0","0","1"
"261","0438","Codman Academy Charter Public (District)","Suffolk","23","24","47","Codman Academy Charter Public (District)","Suffolk","Gr.10",47,"36","0","9","0","0","2","0"
"262","0439","Conservatory Lab Charter (District)","Suffolk","0","0","0","Conservatory Lab Charter (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"263","0440","Community Day Charter Public School - Prospect (District)","Essex","0","0","0","Community Day Charter Public School - Prospect (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"264","0441","Sabis International Charter (District)","Hampden","67","53","120","Sabis International Charter (District)","Hampden","Gr.10",120,"45","7","34","5","0","0","29"
"265","0444","Neighborhood House Charter (District)","Suffolk","0","0","0","Neighborhood House Charter (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"266","0445","Abby Kelley Foster Charter Public (District)","Worcester","35","51","86","Abby Kelley Foster Charter Public (District)","Worcester","Gr.10",86,"36","5","17","3","0","1","24"
"267","0446","Foxborough Regional Charter (District)","Norfolk","30","38","68","Foxborough Regional Charter (District)","Norfolk","Gr.10",68,"31","8","3","2","0","0","24"
"268","0447","Benjamin Franklin Classical Charter Public (District)","Norfolk","0","0","0","Benjamin Franklin Classical Charter Public (District)","Norfolk","Gr.10",0,"***","***","***","***","***","***","***"
"269","0449","Boston Collegiate Charter (District)","Suffolk","48","30","78","Boston Collegiate Charter (District)","Suffolk","Gr.10",78,"17","3","14","0","0","0","44"
"270","0450","Hilltown Cooperative Charter Public (District)","Hampshire","0","0","0","Hilltown Cooperative Charter Public (District)","Hampshire","Gr.10",0,"***","***","***","***","***","***","***"
"271","0452","Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)","Suffolk","55","33","88","Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)","Suffolk","Gr.10",88,"33","0","44","2","0","0","9"
"272","0453","Holyoke Community Charter (District)","Hampden","0","0","0","Holyoke Community Charter (District)","Hampden","Gr.10",0,"***","***","***","***","***","***","***"
"273","0454","Lawrence Family Development Charter (District)","Essex","0","0","0","Lawrence Family Development Charter (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"274","0455","Hill View Montessori Charter Public (District)","Essex","0","0","0","Hill View Montessori Charter Public (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"275","0456","Lowell Community Charter Public (District)","Middlesex","0","0","0","Lowell Community Charter Public (District)","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
